CAS No.,英文名稱,中文名稱
589-87-7,1-Bromo-4-iodobenzene,1-溴-4-碘苯
5894-60-0,Hexadecyltrichlorosilane,十六烷基三氯矽烷
590-17-0,Bromoacetonitrile,溴乙腈
590-86-3,Isovaleraldehyde,異戊醛
590-90-9,4-Hydroxy-2-butanone,4-羥基-2-丁酮
59016-93-2,4-(Hydroxymethyl)phenylboronic acid,4-(羥甲基)苯硼酸
591-20-8,3-Bromophenol,3-溴苯酚
591-50-4,Iodobenzene,碘苯
591-51-5,Phenyllithium,苯基鋰
591-80-0,4-Pentenoic acid,4-戊烯酸
592-42-7,"1,5-Hexadiene","1,5-己二烯"
592-51-8,4-Pentenenitrile,4-戊烯腈
592-76-7,1-Heptene,1-庚烯
593-51-1,Methylamine hydrochloride,甲胺鹽酸鹽
594-19-4,tert-Butyllithium,叔丁基鋰
5949-29-1,Citric acid monohydrate,檸檬酸一水合物
5959-52-4,3-Amino-2-naphthoic acid,3-胺基-2-萘甲酸
5965-83-3,5-Sulfosalicylic acid dihydrate,5-磺基水楊酸二水合物
5970-45-6,Zinc acetate dihydrate,醋酸鋅二水合物
598-62-9,Manganese(II) carbonate,碳酸錳
5980-97-2,Mesitylboronic acid,均三甲苯硼酸
599-70-2,Ethyl phenyl sulfone,乙基苯基碸
59997-51-2,Pivaloylacetonitrile,特戊醯乙腈
60-23-1,Cysteamine,半胱胺
60-24-2,Thioglycol,2-巰基乙醇
60-29-7,Ethyl ether,乙醚
6018-89-9,Nickel(II) acetate tetrahydrate,醋酸鎳四水合物
603-34-9,Triphenylamine,三苯胺
603-35-0,Triphenylphosphine,三苯基膦
603-76-9,1-Methylindole,1-甲基吲哚
6046-93-1,Copper(II) acetate monohydrate,醋酸銅一水合物
6046-93-1,Copper(II) acetate monohydrate,醋酸銅(II)一水合物
605-65-2,Dansyl chloride,丹醯氯
6066-82-6,N-Hydroxysuccinimide (NHS),N-羥基琥珀醯亞胺
608-72-0,"1,3,5-Tribromo-2,4,6-trimethylbenzene","1,3,5-三溴-2,4,6-三甲基苯"
60835-72-5,4'-Bromobenzo-15-crown-5,4'-溴苯并-15-冠-5 (冠醚)
6089-09-4,4-Pentynoic acid,4-戊炔酸
611-32-5,8-Methylquinoline,8-甲基喹啉
611-94-9,4-Methoxybenzophenone,4-甲氧基二苯甲酮
611-97-2,"4,4'-Dimethylbenzophenone","4,4'-二甲基二苯甲酮"
611-99-4,"4,4'-Dihydroxybenzophenone","4,4'-二羥基二苯甲酮"
613-13-8,2-Aminoanthracene,2-胺基蒽
613-31-0,"9,10-Dihydroanthracene","9,10-二氫蒽"
613-37-6,4-Methoxybiphenyl,4-甲氧基聯苯
613-73-0,"1,2-Phenylenediacetonitrile","1,2-苯二乙腈"
6132-04-3,Sodium citrate dihydrate,檸檬酸鈉二水合物
61326-44-1,"1,1,2,2-Tetrakis(4-bromophenyl)ethene","1,1,2,2-四(4-溴苯基)乙烯"
615-43-0,2-Iodoaniline,2-碘苯胺
615-94-1,"2,5-Dihydroxy-1,4-benzoquinone","2,5-二羥基-1,4-苯醌"
6153-56-6,Oxalic acid dihydrate,草酸二水合物
61540-63-4,Methylammonium thiocyanate,甲基硫氰酸銨 (MASCN)
6156-78-1,Manganese(II) acetate tetrahydrate,醋酸錳(II)四水合物
616-24-0,1-Ethylpropylamine,1-乙基丙胺 (3-胺基戊烷)
616-25-1,1-Penten-3-ol,1-戊烯-3-醇
616-38-6,Dimethyl carbonate,碳酸二甲酯
6160-65-2,"1,1'-Thiocarbonyldiimidazole","1,1'-硫羰基二咪唑"
6163-58-2,Tri(o-tolyl)phosphine,三(鄰甲苯基)膦
6165-69-1,3-Thiopheneboronic acid,3-噻吩硼酸
6165-69-1,Thiophene-3-boronic acid,噻吩-3-硼酸
61676-62-8,"2-Isopropoxy-4,4,5,5-tetramethyl-1,3,2-dioxaborolane","2-異丙氧基-4,4,5,5-四甲基-1,3,2-二氧硼雜環戊烷"
617-86-7,Triethylsilane,三乙基矽烷
618-51-9,3-Iodobenzoic acid,3-碘苯甲酸
618-83-7,5-hydroxyisophthalic acid,5-羥基間苯二甲酸
618-89-3,Methyl 3-bromobenzoate,3-溴苯甲酸甲酯
619-04-5,"3,4-Dimethylbenzoic acid","3,4-二甲基苯甲酸"
619-44-3,Methyl 4-iodobenzoate,4-碘苯甲酸甲酯
619-58-9,4-Iodobenzoic acid,4-碘苯甲酸
619-65-8,4-Cyanobenzoic acid,4-氰基苯甲酸
619-66-9,Terephthalaldehydic acid (4-Formylbenzoic acid),對苯二甲醛酸 (4-甲醛基苯甲酸)
619-73-8,4-Nitrobenzyl alcohol,4-硝基苯甲醇
6192-52-5,p-Toluenesulfonic acid monohydrate,對甲苯磺酸一水合物
6192-52-5,4-Methylbenzenesulfonic acid monohydrate,對甲苯磺酸一水合物
62-49-7,Choline,膽鹼
62-53-3,Aniline,苯胺
62-55-5,Thioacetamide,硫代乙醯胺
62-56-6,Thiourea,硫脲
62-74-8,Sodium fluoroacetate,氟乙酸鈉
622-75-3,"1,4-Phenylenediacetonitrile","1,4-苯二乙腈"
6222-35-1,Propionic acid cyclohexyl ester,丙酸環己酯
6224-91-5,1-(Trimethylsilyl)propyne,1-(三甲基矽基)丙炔
623-00-7,4-Bromobenzonitrile,4-溴苯甲腈
623-04-1,4-Aminobenzyl alcohol,4-胺基苯甲醇
623-05-2,4-Hydroxybenzyl alcohol,4-羥基苯甲醇
623-24-5,"alpha,alpha'-Dibromo-p-xylene","α,α'-二溴對二甲苯"
623-26-7,Terephthalonitrile,對苯二甲腈
623-27-8,Terephthalaldehyde,對苯二甲醛
623-43-8,Methyl crotonate,巴豆酸甲酯
623-51-8,Ethyl mercaptoacetate,巰基乙酸乙酯
6232-88-8,alpha-Bromo-para-toluic acid,α-溴對甲苯甲酸
6232-88-8,alpha-Bromo-para-toluic acid,α-溴對甲苯甲酸 (4-羧基溴化苄)
624-28-2,"2,5-Dibromopyridine","2,5-二溴吡啶"
624-38-4,"1,4-Diiodobenzene","1,4-二碘苯"
624-49-7,Dimethyl fumarate,富馬酸二甲酯
624-49-7,Dimethyl fumarate,富馬酸二甲酯 (反丁烯二酸二甲酯)
624-89-5,Ethyl methyl sulfide,乙基甲基硫醚
625-48-9,2-Nitroethanol,2-硝基乙醇
625-95-6,3-Iodotoluene,3-碘甲苯
6258-60-2,4-Methoxy-alpha-toluenethiol,4-甲氧基-α-甲苯硫醇 (4-甲氧基苄硫醇)
626-05-1,"2,6-Dibromopyridine","2,6-二溴吡啶"
626-39-1,"1,3,5-Tribromobenzene","1,3,5-三溴苯"
626-55-1,3-Bromopyridine,3-溴吡啶
626-64-2,4-Hydroxypyridine,4-羥基吡啶
627-18-9,3-Bromo-1-propanol,3-溴-1-丙醇
627-19-0,1-Pentyne,1-戊炔
627-27-0,3-Buten-1-ol,3-丁烯-1-醇
627-30-5,3-Chloro-1-propanol,3-氯-1-丙醇
62778-11-4,Hydrogen fluoride pyridine complex (Olah's reagent),氟化氫吡啶錯合物 (Olah試劑)
628-17-1,1-Iodopentane,1-碘戊烷
628-41-1,"1,4-Cyclohexadiene","1,4-環己二烯"
62871-09-4,10-Bromo-1-decene,10-溴-1-癸烯
629-03-8,"1,6-Dibromohexane","1,6-二溴己烷"
629-05-0,1-Octyne,1-辛炔
629-11-8,"1,6-Hexanediol","1,6-己二醇"
629-30-1,"1,7-Heptanediol","1,7-庚二醇"
629-41-4,"1,8-Octanediol","1,8-辛二醇"
629-72-1,1-Bromopentadecane,1-溴十五烷
629-73-2,1-Hexadecene,1-十六烯
629-74-3,1-Hexadecyne,1-十六炔
629-96-9,1-Eicosanol,1-二十醇
630-01-3,Hexacosane,二十六烷
630-18-2,Trimethylacetonitrile (Pivalonitrile),特戊腈 (三甲基乙腈)
63075-66-1,Diethyl (4-bromobutyl)phosphonate,(4-溴丁基)膦酸二乙酯
631-61-8,Ammonium acetate,醋酸銨
6310-09-4,2-Acetyl-5-chlorothiophene,2-乙醯基-5-氯噻吩
63148-57-2,Poly(methylhydrosiloxane),聚甲基氫矽氧烷
6336-32-9,"5,11-Dihydroindolo[3,2-b]carbazole","5,11-二氫吲哚并[3,2-b]咔唑"
635-12-1,"1,4-Anthraquinone","1,4-蒽醌"
63503-60-6,3-Chlorophenylboronic acid,3-氯苯硼酸
636-09-9,"Terephthalic acid, diethyl ester",對苯二甲酸二乙酯
636-98-6,1-Iodo-4-nitrobenzene,1-碘-4-硝基苯
637-31-0,Bindschedler's Green Leuco Base,賓斯切勒綠無色基
637-44-5,Phenylpropiolic acid,苯丙炔酸
637-69-4,4-Vinylanisole,4-乙烯基苯甲醚
637-88-7,"1,4-Cyclohexanedione","1,4-環己二酮"
637-89-8,4-Mercaptophenol,4-巰基苯酚
638-29-9,Valeryl chloride,戊醯氯
638-53-9,Tridecanoic acid,十三酸
638-59-5,Myristyl acetate,乙酸肉豆蔻酯
6381-59-5,Potassium sodium tartrate tetrahydrate,酒石酸鉀鈉四水合物
6393-01-7,"2,5-Dimethyl-1,4-phenylenediamine","2,5-二甲基-1,4-苯二胺"
64-17-5,Ethanol,乙醇
64-18-6,Formic acid,甲酸
64-19-7,Acetic acid (Glacial),冰醋酸 (乙酸)
64-19-7,Acetic acid,醋酸 (乙酸)
64-19-7,Acetic acid,乙酸 (醋酸)
643-79-8,o-Phthalaldehyde,鄰苯二甲醛
644-06-4,"Precocene II (6,7-dimethoxy-2,2-dimethyl-3-chromene)",早熟素 II
646-07-1,4-Methylvaleric acid,4-甲基戊酸
64695-78-9,"1,2-Dibromo-4,5-difluorobenzene","1,2-二溴-4,5-二氟苯"
6485-79-6,Triisopropylsilane,三異丙基矽烷
6485-79-6,Triisopropylsilane (TIPS),三異丙基矽烷
65-85-0,Benzoic acid,苯甲酸
65039-09-0,1-Ethyl-3-methylimidazolium chloride,1-乙基-3-甲基咪唑氯鹽 ([EMIM]Cl)
652-03-9,Tetrafluorophthalic acid,四氟鄰苯二甲酸
655-86-7,"2,3-Diaminophenazine","2,3-二胺基吩嗪"
657408-07-6,"SPhos (2-Dicyclohexylphosphino-2',6'-dimethoxybiphenyl)",SPhos 配體
66-71-7,"1,10-Phenanthroline","1,10-菲羅啉 (鄰菲羅啉)"
66-71-7,"1,10-Phenanthroline","1,10-菲羅啉 (無水)"
66-71-7,"1,10-Phenanthroline","1,10-菲囉啉"
66-77-3,1-Naphthaldehyde,1-萘甲醛
66-99-9,2-Naphthaldehyde,2-萘甲醛
661-69-8,Hexamethylditin,六甲基二錫
66197-72-6,Diethyl (bromomethyl)phosphonate,(溴甲基)膦酸二乙酯
6621-59-6,6-Bromohexanenitrile,6-溴己腈
6630-33-7,o-Bromobenzaldehyde,鄰-溴苯甲醛
6630-33-7,o-Bromobenzaldehyde,鄰溴苯甲醛
6642-29-1,"4-Nitro-1,8-naphthalic anhydride","4-硝基-1,8-萘二甲酸酐"
667-91-4,10-Benzhydrylidene-9-anthrone,10-二苯亞甲基-9-蒽酮
6674-22-2,"1,8-Diazabicyclo[5.4.0]undec-7-ene","1,8-二氮雜雙環[5.4.0]十一-7-烯 (DBU)"
66796-30-3,Perfluorosulfonic acid-PTFE copolymer,全氟磺酸-PTFE共聚物
66990-32-7,"10,12-Pentacosadiynoic acid","10,12-二十五碳二炔酸"
67-56-1,Methyl alcohol (Methanol),甲醇
67-63-0,Isopropyl alcohol (IPA),異丙醇
67-64-1,Acetone,丙酮
67-66-3,Chloroform,氯仿 (三氯甲烷)
67-66-3,Trichloromethane (Chloroform),三氯甲烷 (氯仿)
67-66-3,Trichloromethane,三氯甲烷 (氯仿)
67-68-5,Dimethyl sulfoxide (DMSO),二甲基亞碸 (DMSO)
67-68-5,Dimethyl sulfoxide (DMSO),二甲基亞碸
67-68-5,DMSO (Dimethyl sulfoxide),二甲基亞碸
670-54-2,Tetracyanoethylene,四氰乙烯
670-54-2,Tetracyanoethylene,四氰基乙烯
672-65-1,(1-Chloroethyl)benzene,(1-氯乙基)苯
6737-42-4,"1,3-Bis(diphenylphosphino)propane (dppp)","1,3-雙(二苯基膦)丙烷 (dppp)"
6746-94-7,Cyclopropylacetylene,環丙基乙炔
67485-29-4,Hydramethylnon,伏蟻腙 (愛美松)
67492-50-6,"3,5-Dichlorophenylboronic acid","3,5-二氯苯硼酸"
67762-94-1,Vinylmethylsiloxane-dimethylsiloxane copolymer,乙烯基甲基矽氧烷-二甲基矽氧烷共聚物
67762-94-1,Dimethylsiloxane copolymer,二甲基矽氧烷共聚物
67905-19-5,Perfluorohexadecanoic acid,全氟十六酸
68-12-2,"N,N-Dimethylformamide (DMF)","N,N-二甲基甲醯胺 (DMF)"
68-12-2,"N,N-Dimethylformamide (DMF)","N,N-二甲基甲醯胺"
68-12-2,"N,N-Dimethylformamide",二甲基甲醯胺 (DMF)
680-31-9,Hexamethylphosphoramide (HMPA),六甲基磷醯胺 (HMPA)
68162-47-0,4-(Bromomethyl)phenylboronic acid,4-(溴甲基)苯硼酸
6825-20-3,"3,6-Dibromo-9H-carbazole","3,6-二溴咔唑"
6825-20-3,"3,6-Dibromocarbazole","3,6-二溴咔唑"
6867-30-7,Lithium acetylide ethylenediamine complex,乙炔鋰乙二胺錯合物
6872-17-9,"5-Chloro-1,3,3-trimethyl-2-methyleneindoline","5-氯-1,3,3-三甲基-2-亞甲基吲哚啉"
6876-37-5,Methylammonium bromide,甲基溴化銨 (MABr)
688-74-4,Tributyl borate,硼酸三丁酯
6881-57-8,Benzylphosphonic acid,苄基膦酸
69249-61-2,2-Bromo-3-hexylthiophene,2-溴-3-己基噻吩
693-02-7,1-Hexyne,1-己炔
693-13-0,"N,N'-Diisopropylcarbodiimide (DIC)","N,N'-二異丙基碳二亞胺 (DIC)"
693-13-0,"N,N'-Diisopropylcarbodiimide","N,N'-二異丙基碳二亞胺 (DIC)"
693-58-3,1-Bromononane,1-溴壬烷
693-67-4,1-Bromoundecane,1-溴十一烷
6938-66-5,1-Bromodocosane,1-溴二十二烷
696-62-8,4-Iodoanisole,4-碘苯甲醚
697-82-5,"2,3,5-Trimethylphenol","2,3,5-三甲基苯酚"
6972-71-0,"4,5-Dimethyl-2-nitroaniline","4,5-二甲基-2-硝基苯胺"
69839-68-5,16-Mercaptohexadecanoic acid,16-巰基十六酸
70-11-1,2-Bromo-1-phenylethanone,2-溴苯乙酮
700-16-3,Pentafluoropyridine,五氟吡啶
701-35-9,p-Tolyltrichlorosilane,對-甲苯基三氯矽烷
70693-62-8,Potassium peroxymonosulfate (Oxone),過一硫酸氫鉀 (Oxone)
7087-68-5,"N,N-Diisopropylethylamine","N,N-二異丙基乙胺 (DIPEA)"
70955-01-0,Molecular sieves,分子篩
71-36-3,1-Butyl alcohol (n-Butanol),正丁醇
71-36-3,1-Butyl alcohol,1-丁醇 (正丁醇)
71-41-0,1-Pentanol,1-戊醇
71-43-2,Benzene,苯
71-55-6,"1,1,1-Trichloroethane","1,1,1-三氯乙烷"
71084-08-7,9-Dodecyn-1-ol,9-十二炔-1-醇
7128-64-5,"2,5-Bis(5-tert-butyl-2-benzoxazolyl)thiophene","2,5-雙(5-叔丁基-2-苯并噁唑基)噻吩 (BBOT)"
71310-21-9,11-Mercaptoundecanoic acid,11-巰基十一酸
714-29-0,1-Bromopyrene,1-溴芘
71597-85-8,4-Hydroxyphenylboronic acid,4-羥基苯硼酸
71597-85-8,4-Hydroxybenzeneboronic acid,4-羥基苯硼酸
716-39-2,"2,3-Naphthalenedicarboxylic anhydride","2,3-萘二甲酸酐"
71637-34-8,3-Thiophenemethanol,3-噻吩甲醇
71838-16-9,3-Bromo-4-iodotoluene,3-溴-4-碘甲苯
7212-44-4,Nerolidol,橙花叔醇
7226-23-5,"1,3-Dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone","1,3-二甲基-3,4,5,6-四氫-2(1H)-嘧啶酮 (DMPU)"
72287-26-4,"1,1'-Bis(diphenylphosphino)ferrocene-palladium(II) dichloride","[1,1'-雙(二苯基膦)二鐵]二氯鈀"
72287-26-4,"[1,1'-Bis(diphenylphosphino)ferrocene]dichloropalladium(II)","[1,1'-雙(二苯基膦)二鐵]二氯鈀(II)"
7291-22-7,Pyridine-d5,吡啶-d5
73183-34-3,Bis(pinacolato)diboron,雙(頻那醇)二硼
7321-21-9,2-Bromoanthracene,2-溴蒽
7333-08-6,"1,2-Di(3-thienyl)-1,2-ethanedione","1,2-二(3-噻吩基)-1,2-乙二酮"
7333-25-7,"10,12-Octadecadiynoic acid","10,12-十八碳二炔酸"
73768-94-2,11-Mercapto-1-undecanol,11-巰基-1-十一醇
73870-24-3,4-(Bromomethyl)pyridine hydrobromide,4-溴甲基吡啶氫溴酸鹽
7396-41-0,"Dimethyl 2-thioxo-1,3-dithiole-4,5-dicarboxylate","2-硫-1,3-二硫茂-4,5-二羧酸二甲酯"
74-88-4,Methyl iodide (Iodomethane),碘甲烷
74-89-5,Methylamine,甲胺
74-89-5,Methylamine anhydrous,甲胺 (無水)
74-96-4,Bromoethane,溴乙烷
74-96-4,Ethyl bromide,溴乙烷
74328-61-3,8-Mercaptooctanoic acid,8-巰基辛酸
7439-89-6,Iron,鐵
7439-95-4,Magnesium powder,鎂粉
7439-97-6,Mercury,汞 (水銀)
7440-05-0,Palladium on carbon (Pd/C),鈀碳 (Pd/C)
7440-05-3,Palladium (Metal),鈀 (金屬)
7440-05-3,Palladium,鈀粉
7440-05-3,Palladium,鈀
7440-09-7,Potassium,鉀 (金屬鉀)
7440-22-4,Silver (Shot/Pellets),銀粒/銀靶材
7440-23-5,Sodium,鈉 (金屬鈉)
7440-31-5,Tin,錫
7440-44-0,Active charcoal (Activated carbon),活性碳
7440-50-8,Copper powder,銅粉
7440-50-8,Copper foil,銅箔
7440-57-5,Au (Gold),金
7440-66-6,Zinc powder,鋅粉
7440-70-2,Calcium,鈣
7446-08-4,Selenium dioxide,二氧化硒
7446-70-0,Aluminum chloride,氯化鋁
7447-39-4,Copper(II) chloride,氯化銅
7447-39-4,Copper(II) chloride,氯化銅(II)
7447-39-4,Copper(II) chloride,氯化銅(II) (無水)
7447-40-7,Potassium chloride,氯化鉀
7447-41-8,Lithium chloride,氯化鋰
75-04-7,Ethylamine,乙胺
75-05-8,Acetonitrile,乙腈
75-07-0,Acetaldehyde,乙醛
75-08-1,Ethyl mercaptan,乙硫醇
75-11-6,Diiodomethane,二碘甲烷
75-12-7,Formamide,甲醯胺
75-15-0,Carbon disulfide,二硫化碳
75-16-1,Methylmagnesium bromide,甲基溴化鎂
75-18-3,Dimethyl sulfide,二甲基硫醚
75-25-2,Bromoform,溴仿
75-29-6,2-Chloropropane,2-氯丙烷
75-30-9,2-Iodopropane,2-碘丙烷
75-33-2,2-Propanethiol,2-丙硫醇 (異丙硫醇)
75-50-3,Trimethylamine,三甲胺
75-52-5,Nitroethane,硝基乙烷
75-52-5,Nitromethane,硝基甲烷
75-56-9,"1,2-Epoxypropane (Propylene oxide)",環氧丙烷
75-60-5,Cacodylic acid,二甲胂酸
75-64-9,tert-Butylamine,三級丁胺 (叔丁胺)
75-65-0,tert-Butyl alcohol,三級丁醇 (叔丁醇)
75-75-2,Methanesulfonic acid,甲磺酸
75-77-4,Trimethylchlorosilane,三甲基氯矽烷
75-78-5,Dimethyldichlorosilane,二甲基二氯矽烷
75-89-8,"2,2,2-Trifluoroethanol","2,2,2-三氟乙醇"
75-97-8,"3,3-Dimethyl-2-butanone","3,3-二甲基-2-丁酮 (頻哪酮)"
75-98-9,Pivalic acid (Trimethylacetic acid),三甲基乙酸 (特戊酸)
7529-22-8,4-Methylmorpholine N-oxide,N-甲基嗎啉-N-氧化物 (NMO)
754-34-7,Perfluoropropyl iodide,全氟丙基碘 (七氟碘丙烷)
7550-45-0,Titanium tetrachloride,四氯化鈦
7553-56-2,Iodine,碘
7558-79-4,Disodium hydrogen phosphate,磷酸氫二鈉
7558-80-7,Sodium phosphate monobasic,磷酸二氫鈉
7560-83-0,N-Methyldicyclohexylamine,N-甲基二環己胺
759-36-4,Diethyl isopropylmalonate,異丙基丙二酸二乙酯
76-03-9,Trichloroacetic acid,三氯乙酸
76-04-0,Chlorodifluoroacetic acid,氯二氟乙酸
76-05-1,Trifluoroacetic acid (TFA),三氟乙酸 (TFA)
76-05-1,Trifluoroacetic acid (TFA),三氟乙酸
76-05-1,Trifluoroacetic acid,三氟乙酸
76-09-5,"Pinacol (2,3-Dimethyl-2,3-butanediol)","頻那醇 (2,3-二甲基-2,3-丁二醇)"
76-13-1,"1,1,2-Trichloro-1,2,2-trifluoroethane","1,1,2-三氯-1,2,2-三氟乙烷"
76-49-3,Bornyl acetate,乙酸龍腦酯
76-83-5,Trityl chloride (Triphenylmethyl chloride),三苯甲基氯 (三苯基氯甲烷)
76-84-6,Triphenylmethanol,三苯甲醇
76-86-8,Triphenylsilyl chloride,三苯基氯矽烷
762-04-9,Diethyl phosphite,亞磷酸二乙酯
762-21-0,Diethyl acetylenedicarboxylate,乙炔二甲酸二乙酯
762-42-5,Dimethyl acetylenedicarboxylate,乙炔二甲酸二甲酯
763-32-6,3-Methyl-3-buten-1-ol,3-甲基-3-丁烯-1-醇
7631-86-9,Silicon dioxide,二氧化矽
7631-90-5,Sodium bisulfite,亞硫酸氫鈉
7631-99-4,Sodium nitrate,硝酸鈉
7632-00-0,Sodium nitrite,亞硝酸鈉
764-93-2,1-Decyne,1-癸炔
7646-69-7,Sodium hydride,氫化鈉
7646-78-8,Stannic chloride (Tin(IV) chloride),氯化錫(IV) (四氯化錫)
7646-79-9,Cobalt(II) chloride,氯化鈷(II)
7646-85-7,Zinc chloride,氯化鋅
7646-93-7,Potassium hydrogen sulphate,硫酸氫鉀
7647-01-0,Hydrochloric acid,鹽酸
7647-01-0,Hydrochloric acid,鹽酸 (註：原輸入名稱為氫碘酸，但CAS為鹽酸)
7647-10-1,Palladium(II) chloride,氯化鈀(II)
7647-14-5,Sodium chloride,氯化鈉 (食鹽)
7647-78-8,Tin (IV) chloride,氯化錫 (四氯化錫)
765-03-7,1-Dodecyne,1-十二炔
765-10-6,1-Tetradecyne,1-十四炔
765-13-9,1-Pentadecyne,1-十五炔
7664-38-2,Phosphoric acid,磷酸
7664-41-7,Ammonia,氨 (氨水)
7664-93-9,Sulfuric acid,硫酸
767-00-0,4-Cyanophenol,4-氰基苯酚
768-60-5,4-Ethynylanisole,4-乙炔基苯甲醚
7681-11-0,Potassium iodide,碘化鉀
7681-38-1,Sodium hydrogen sulfate,硫酸氫鈉
7681-49-4,Sodium fluoride,氟化鈉
7681-52-9,Sodium hypochlorite,次氯酸鈉 (漂白水)
7681-57-4,Sodium metabisulfite,偏亞硫酸氫鈉 (焦亞硫酸鈉)
7681-57-4,Sodium metabisulfite,偏亞硫酸氫鈉
7681-65-4,Copper(I) iodide (CuI),碘化亞銅
7681-65-4,Copper(I) iodide,碘化亞銅
7681-82-5,Sodium iodide,碘化鈉
7681-82-5,Sodium iodide (Anhydrous),碘化鈉 (無水)
7681-82-5,Sodium iodide anhydrous,碘化鈉 (無水)
7697-37-2,Nitric acid,硝酸
7699-45-8,Zinc bromide,溴化鋅
77-09-8,Phenolphthalein,酚酞
77-48-5,"1,3-Dibromo-5,5-dimethylhydantoin","1,3-二溴-5,5-二甲基海因"
77-54-3,Cedryl acetate,乙酸柏木酯
77-58-7,Di-n-butyltin dilaurate,二月桂酸二丁基錫
77-75-8,3-Methyl-1-pentyn-3-ol,3-甲基-1-戊炔-3-醇
77-92-9,Citric acid,檸檬酸
770-10-5,Benzyltrichlorosilane,苄基三氯矽烷
7704-34-9,Sulfur powder,硫粉
7704-34-9,Sulfur,硫磺 (硫粉)
7704-34-9,Sulfur,硫 (硫磺)
7705-08-0,Iron(III) chloride (anhydrous),氯化鐵(III) (無水)
7705-08-0,"Ferric chloride, anhydrous",氯化鐵 (無水)
771-97-1,"2,3-Diaminonaphthalene","2,3-二胺基萘"
7719-09-7,Thionyl chloride,亞硫醯氯 (二氯亞碸)
7719-12-2,Phosphorus trichloride,三氯化磷
7722-64-7,Potassium permanganate,過錳酸鉀
7722-64-7,Potassium permanganate,高錳酸鉀
7722-64-7,Potassium permanganate,過錳酸鉀 (高錳酸鉀)
7722-84-1,Hydrogen peroxide,過氧化氫 (雙氧水)
7726-95-6,Bromine,溴 (液溴)
7727-21-1,Potassium persulfate,過硫酸鉀
7727-54-0,Ammonium persulfate (APS),過硫酸銨 (APS)
7735-42-4,"1,16-Hexadecanediol","1,16-十六烷二醇"
7757-79-1,Potassium nitrate,硝酸鉀
7757-82-6,Sodium sulfate,硫酸鈉
7757-83-7,Sodium sulfite,亞硫酸鈉
7758-01-2,Potassium bromate,溴酸鉀
7758-02-3,Potassium bromide,溴化鉀
7758-05-6,Potassium iodate,碘酸鉀
7758-19-2,Sodium chlorite,亞氯酸鈉
7758-89-6,Copper(I) chloride,氯化亞銅
7758-95-4,Lead(II) chloride,氯化鉛
7758-98-7,Copper(II) sulfate (anhydrous),硫酸銅 (無水)
7758-98-7,Copper sulfate,硫酸銅
7761-88-8,Silver nitrate,硝酸銀
77657-78-4,"(2E,4Z)-Undeca-2,4-dien-1-ol","(2E,4Z)-十一-2,4-二烯-1-醇"
7766-50-9,11-Bromo-1-undecene,11-溴-1-十一烯
7770-45-8,4-Hydroxy-1-naphthaldehyde,4-羥基-1-萘甲醛
7772-98-7,Sodium thiosulfate,硫代硫酸鈉 (海波)
7772-99-8,Tin(II) chloride,氯化錫(II)
7772-99-8,Tin(II) chloride,氯化亞錫 (氯化錫(II))
7778-18-9,Calcium sulfate (Drierite),硫酸鈣 (乾燥劑)
7778-53-2,Potassium phosphate tribasic,磷酸鉀 (三鉀)
7778-77-0,Potassium dihydrogen phosphate,磷酸二氫鉀
7778-77-0,Potassium phosphate monobasic,磷酸二氫鉀 (磷酸一鉀)
7778-80-5,Potassium sulfate,硫酸鉀
7782-42-5,"Graphite, amorphous",無定形石墨
7782-42-5,Graphite powder,石墨粉
7782-42-5,Graphite,石墨
7782-68-5,Iodic acid,碘酸
7782-89-0,Lithium amide,胺基鋰
7782-92-5,Sodium amide,胺基鈉
7783-03-1,Tungstic acid,鎢酸
7783-90-6,Silver chloride,氯化銀
7783-96-2,Silver iodide,碘化銀
7784-27-2,Aluminum nitrate enneahydrate,硝酸鋁九水合物
7785-23-1,Silver bromide,溴化銀
7785-26-4,(-)-alpha-Pinene,(-)-α-蒎烯
7787-70-4,Copper(I) bromide,溴化亞銅
7789-17-5,Cesium iodide,碘化銫
7789-20-0,Deuterium oxide,氧化氘 (重水)
7789-20-0,Deuterium oxide (Heavy water),氧化氘 (重水)
7789-23-3,Potassium fluoride,氟化鉀
7789-45-9,Copper(II) bromide,溴化銅
7789-45-9,Copper dibromide,溴化銅
7789-60-8,Phosphorus tribromide,三溴化磷
7789-78-8,Calcium hydride,氫化鈣
7790-28-5,Sodium periodate,過碘酸鈉
7790-62-7,Potassium disulfate (Potassium pyrosulfate),焦硫酸鉀
7790-94-5,Chlorosulphonic acid,氯磺酸
7790-99-0,Iodine monochloride,一氯化碘
7791-20-0,Nickel(II) chloride hexahydrate,氯化鎳(II)六水合物
7791-25-5,Sulfuryl chloride,硫醯氯
78-10-4,Tetraethyl orthosilicate,正矽酸四乙酯 (TEOS)
78-39-7,Triethyl orthoacetate,原乙酸三乙酯
78-40-0,Triethyl phosphate,磷酸三乙酯
78-67-1,"AIBN (2,2'-Azobisisobutyronitrile)",偶氮二異丁腈
78-67-1,Azobisisobutyronitrile (AIBN),偶氮二異丁腈 (AIBN)
78-67-1,Azodiisobutyronitrile,偶氮二異丁腈 (AIBN)
78-77-3,1-Bromo-2-methylpropane,1-溴-2-甲基丙烷
78-79-5,Isoprene,異戊二烯
